date,tested,daily_infected,percentage_infected,infected,active_infected,daily_deceased_hospital,daily_deceased_elderlyhome,daily_deceased,deceased,cfr,ecmo,ventilation,icu,capacity_icu,icu_free,daily_hospitalized,hospitalized,daily_released,released,daily_deceased_flanders,daily_deceased_wallonia,daily_deceased_brussels,infected_flanders,infected_brussels,infected_wallonia,infected_unknown,check,male_0-9,female_0_9,male_10-19,female_10-19,male_20-29,female_20-29,male_30-39,female_30-39,male_40-49,female_40-49,male_50-59,female_50-59,male_60-69,female_60-69,male_70-79,female_70-79,male_80-89,female_80-89,male_90+,female_90+
3/1/2020,56,1,1.79%,2,2,,,,0,0.00%,,,,2081,2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2020,278,6,2.16%,8,8,,,,0,0.00%,,,,2081,2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2020,484,5,1.03%,13,13,,,,0,0.00%,,,,2081,2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2020,655,10,1.53%,23,23,,,,0,0.00%,,,,2081,2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/2020,713,27,3.79%,50,50,,,,0,0.00%,,,,2081,2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2020,1034,59,5.71%,109,109,,,,0,0.00%,,,,2081,2081,,,,,,,,65,12,31,1,109,,,,,,,,,,,,,,,,,,,,
3/7/2020,416,60,14.42%,169,169,,,,0,0.00%,,,,2081,2081,,,,,,,,105,17,46,1,169,,,,,,,,,,,,,,,,,,,,
3/8/2020,420,31,7.38%,200,200,,,,0,0.00%,,,,2081,2081,,,,,,,,121,25,53,1,200,,,,,,,,,,,,,,,,,,,,
3/9/2020,538,39,7.25%,239,239,,,,0,0.00%,,,,2081,2081,,,,,,,,143,32,63,1,239,,,,,,,,,,,,,,,,,,,,
3/10/2020,724,28,3.87%,267,267,,,,0,0.00%,,,,2081,2081,,,,,,,,160,35,71,1,267,,,,,,,,,,,,,,,,,,,,
3/11/2020,979,47,4.80%,314,311,,,3,3,0.96%,,,2,2081,2079,,,,,,,,189,42,82,1,314,,,,,,,,,,,,,,,,,,,,
3/12/2020,1367,85,6.22%,399,396,,,3,3,0.75%,,,,2081,2081,,,,,,,,255,45,98,1,399,,,,,,,,,,,,,,,,,,,,
3/13/2020,2345,160,6.82%,559,556,,,3,3,0.54%,,,,2081,2081,,,,,,,,316,53,182,8,559,,,,,,,,,,,,,,,,,,,,
3/14/2020,1957,133,6.80%,692,688,,,1,4,0.58%,,,24,2081,2057,,97,,,,,,434,58,188,8,688,,,,,,,,,,,,,,,,,,,,
3/15/2020,1160,197,16.98%,886,882,,,0,4,0.45%,,,33,2081,2048,,163,,,,,,571,85,216,13,885,,,,,,,,,,,,,,,,,,,,
3/16/2020,1621,172,10.61%,1058,1053,,,1,5,0.47%,,,53,2081,2028,,252,,,,,,651,102,284,20,1057,,,,,,,,,,,,,,,,,,,,
3/17/2020,1923,185,9.62%,1243,1233,,,5,10,0.80%,,,79,2081,2002,,361,14,,,,,757,140,317,28,1242,,,,,,,,,,,,,,,,,,,,
3/18/2020,2339,243,10.39%,1486,1472,,,4,14,0.94%,,,100,2081,1981,,496,31,,,,,890,181,383,31,1485,,,,,,,,,,,,,,,,,,,,
3/19/2020,2815,309,10.98%,1795,1774,,,7,21,1.17%,,,130,2081,1951,,634,51,,,,,1035,229,478,52,1794,,,,,,,,,,,,,,,,,,,,
3/20/2020,2534,462,18.23%,2257,2016,,,16,37,1.64%,,,164,2081,1917,,837,48,204,,,,1337,272,568,79,2256,,,,,,,,,,,,,,,,,,,,
3/21/2020,1915,558,29.14%,2815,2485,,,30,67,2.38%,,,238,2081,1843,,1089,58,263,,,,1629,322,768,95,2814,,,,,,,,,,,,,,,,,,,,
3/22/2020,1145,586,51.18%,3401,2986,,,8,75,2.21%,,,290,2081,1791,,1380,76,340,,,,2041,392,867,100,3400,,,,,,,,,,,,,,,,,,,,
3/23/2020,2630,342,13.00%,3743,3254,,,13,88,2.35%,,,322,2081,1759,,1643,61,401,,,,2214,437,985,106,3742,,,,,,,,,,,,,,,,,,,,
3/24/2020,3255,526,16.16%,4269,3737,,,34,122,2.86%,,,381,2081,1700,,1859,60,410,,,,2595,475,1072,126,4268,,,,,,,,,,,,,,,,,,,,
3/25/2020,3575,668,18.69%,4937,4212,,,56,178,3.61%,,,474,2081,1607,,2152,115,547,,,,3024,532,1248,132,4936,,,,,,,,,,,,,,,,,,,,
3/26/2020,3433,1298,37.81%,6235,5340,,,42,220,3.53%,,,605,2081,1476,,2652,128,675,,,,3881,696,1504,153,6234,,,,,,,,,,,,,,,,,,,,
3/27/2020,4039,1049,25.97%,7284,6137,,,69,289,3.97%,,,690,2081,1391,,3042,183,858,,,,4653,833,1635,162,7283,,,,,,,,,,,,,,,,,,,,
3/28/2020,3243,1850,57.05%,9134,7718,,,64,353,3.86%,,579,789,2081,1292,,3717,205,1063,,,,5476,967,2510,180,9133,46,35,58,64,282,466,404,644,636,868,846,806,790,519,747,487,535,535,139,180
3/29/2020,1958,1702,86.93%,10836,9046,,,78,431,3.98%,,656,867,2081,1214,,4138,296,1359,,,,6382,1052,3201,200,10835,48,39,63,67,329,559,456,779,714,1014,984,998,949,611,861,595,666,678,156,222
3/30/2020,3330,1063,31.92%,11899,9859,,,82,513,4.31%,,696,927,2081,1154,,4524,168,1527,46,22,14,7065,1250,3365,218,11898,,,,,,,,,,,,,,,,,,,,
3/31/2020,5368,876,16.32%,12775,10375,,,192,705,5.52%,,786,1021,2081,1060,485,4920,168,1695,,,,7532,1439,3568,235,12774,,,,,,,,,,,,,,,,,,,,
4/1/2020,4789,1189,24.83%,13964,11011,,,123,828,5.93%,,834,1088,2081,993,560,4995,430,2125,,,,8220,1567,3917,259,13963,,,,,,,,,,,,,,,,,,,,
4/2/2020,4846,1384,28.56%,15348,11849,,,183,1011,6.59%,,906,1144,2081,937,584,5376,363,2488,,,,9132,1704,4234,277,15347,,,,,,,,,,,,,,,,,,,,
4/3/2020,5189,1422,27.40%,16770,12762,,,132,1143,6.82%,,916,1205,2081,876,578,5552,377,2865,60,51,21,9997,1871,4608,293,16769,,,,,,,,,,,,,,,,,,,,
4/4/2020,4324,1661,38.41%,18431,13908,,,140,1283,6.96%,,985,1245,2081,836,503,5678,375,3240,47,56,37,10828,2033,5260,309,18430,,,,,,,,,,,,,,,,,,,,
4/5/2020,2571,1260,49.01%,19691,14493,,,164,1447,7.35%,,995,1261,2081,820,499,5735,504,3751,,,,11604,2202,5561,323,19690,,,,,,,,,,,,,,,,,,,,
4/6/2020,4338,1123,25.89%,20814,15196,,,185,1632,7.84%,,984,1257,2081,824,420,5840,235,3986,60,80,45,12290,2339,5823,361,20813,,,,,,,,,,,,,,,,,,,,
4/7/2020,5861,1380,23.55%,22194,16002,,,403,2035,9.17%,,999,1260,2081,821,314,6012,171,4157,,,,12877,2401,6557,361,22196,79,63,93,116,551,1269,788,1600,1283,1977,1851,2112,1727,1152,1617,1246,1483,1860,411,808
4/8/2020,6160,1209,19.63%,23403,16482,,,205,2240,9.57%,,1008,1276,2081,805,487,5688,524,4681,,,23,13421,2502,7105,377,23405,,,,,,,,,,,,,,,,,,,,
4/9/2020,6138,1580,25.74%,24983,17296,,,283,2523,10.10%,,992,1285,2081,796,459,5590,483,5164,135,,39,14470,2651,7475,389,24985,,,,,,,,,,,,,,,,,,,,
4/10/2020,6472,1684,26.02%,26667,18080,,,496,3019,11.32%,,993,1278,2081,803,462,5610,404,5568,,,,15385,2829,8045,410,26669,,,,,,,,,,,,,,,,,,,,
4/11/2020,6392,1351,21.14%,28018,18686,,,327,3346,11.94%,,981,1262,2081,819,421,5635,418,5986,,,,16141,2978,8482,419,28020,,,,,,,,,,,,,,,,,,,,
4/12/2020,5342,1629,30.49%,29647,19584,,,268,3600,12.14%,45,930,1223,2081,858,392,5353,477,6463,,,,17144,3121,8943,441,29649,,,,,,,,,,,,,,,,,,,,
4/13/2020,4741,942,19.87%,30589,19984,,,303,3903,12.76%,44,940,1234,2081,847,310,5393,239,6702,141,29,133,17735,3234,9178,444,30591,96,84,113,147,702,1749,974,2146,1551,2831,2271,2831,2111,1473,2108,1732,2185,3189,689,1658
4/14/2020,5701,530,9.30%,31119,20091,,,262,4165,13.38%,45,915,1223,2081,858,242,5536,161,6863,125,108,29,18067,3296,9307,451,31121,96,84,116,147,714,1789,988,2184,1563,2685,2291,2869,2139,1488,2133,1757,2217,3270,705,1706
4/15/2020,7827,2454,31.35%,33573,22023,103,179,283,4448,13.25%,,889,1204,2081,877,250,5524,239,7102,214,32,37,19667,3391,10013,504,33575,98,86,122,161,753,1979,1026,2397,1610,2905,2367,3092,2199,1556,2238,1875,2388,3767,781,2047
4/16/2020,7652,1236,16.15%,34809,22395,127,289,417,4857,13.95%,43,868,1182,2081,899,310,5309,455,7557,,,,20501,3455,10342,513,34811,97,88,125,171,774,2090,1061,2519,1637,3014,2428,3205,2241,1602,2290,1931,2477,3941,810,2180
4/17/2020,7754,1329,17.14%,36138,23019,114,199,313,5163,14.29%,,846,1140,2081,941,320,5161,399,7956,153,67,93,21086,3598,10923,533,36140,99,89,130,180,809,2191,1087,2621,1678,3121,2490,3302,2308,1658,2352,2013,2562,4166,843,2303
4/18/2020,6958,1045,15.02%,37183,23387,93,192,290,5453,14.67%,48,809,1119,2081,962,303,5069,387,8343,,,,21694,3726,11221,544,37185,101,90,132,187,830,2269,1118,2704,1704,3207,2528,3398,2340,1697,2402,2067,2643,4335,878,2409
